MLSNumber,ListPrice,ListingContractDate,County,YEAR,MONTH,MONTH_NAME
21752638,325000,2020-11-27,Johnson,2020,11,November
21735656,54900,2020-08-28,Johnson,2020,8,August
21757416,164900,2020-12-16,Johnson,2020,12,December
21757848,1200000,2020-12-18,Johnson,2020,12,December
21729685,189900,2020-08-01,Johnson,2020,8,August
21719298,85000,2020-06-18,Johnson,2020,6,June
21728186,90000,2020-07-28,Johnson,2020,7,July
21735395,110000,2020-08-27,Johnson,2020,8,August
21732880,125000,2020-08-21,Johnson,2020,8,August
21715342,114900,2020-06-01,Johnson,2020,6,June
21750234,115000,2020-11-03,Johnson,2020,11,November
21735327,114900,2020-08-26,Johnson,2020,8,August
21752872,125000,2020-11-20,Johnson,2020,11,November
21752217,125000,2020-11-13,Johnson,2020,11,November
21736195,121900,2020-09-01,Johnson,2020,9,September
21734351,124900,2020-08-21,Johnson,2020,8,August
21751129,89900,2020-11-06,Johnson,2020,11,November
21744701,135000,2020-10-08,Johnson,2020,10,October
21725808,135000,2020-07-19,Johnson,2020,7,July
21754365,139900,2020-11-18,Johnson,2020,11,November
21724977,135900,2020-07-15,Johnson,2020,7,July
21716235,139900,2020-06-03,Johnson,2020,6,June
21740798,148000,2020-09-23,Johnson,2020,9,September
21726105,160000,2020-07-23,Johnson,2020,7,July
21719808,133000,2020-06-18,Johnson,2020,6,June
21716430,148000,2020-06-05,Johnson,2020,6,June
21730163,149900,2020-08-05,Johnson,2020,8,August
21726011,150000,2020-07-20,Johnson,2020,7,July
21721785,145000,2020-06-29,Johnson,2020,6,June
21720194,154900,2020-06-20,Johnson,2020,6,June
21737538,157000,2020-09-16,Johnson,2020,9,September
21718788,154900,2020-06-11,Johnson,2020,6,June
21751135,155000,2020-11-06,Johnson,2020,11,November
21737668,200000,2020-09-15,Johnson,2020,9,September
21754163,159900,2020-11-23,Johnson,2020,11,November
21749224,164900,2020-10-28,Johnson,2020,10,October
21745591,158000,2020-10-13,Johnson,2020,10,October
21730923,155000,2020-08-10,Johnson,2020,8,August
21728899,158000,2020-07-31,Johnson,2020,7,July
21721852,151900,2020-08-03,Johnson,2020,8,August
21716454,159900,2020-06-05,Johnson,2020,6,June
21722941,150000,2020-07-03,Johnson,2020,7,July
21736238,165000,2020-09-15,Johnson,2020,9,September
21755645,170000,2020-12-03,Johnson,2020,12,December
21736360,179900,2020-09-01,Johnson,2020,9,September
21752733,175000,2020-11-18,Johnson,2020,11,November
21716706,168000,2020-06-08,Johnson,2020,6,June
21734626,174900,2020-08-24,Johnson,2020,8,August
21748879,175000,2020-10-26,Johnson,2020,10,October
21735652,165000,2020-08-28,Johnson,2020,8,August
21732185,174900,2020-08-20,Johnson,2020,8,August
21729039,160000,2020-07-31,Johnson,2020,7,July
21719818,169800,2020-06-18,Johnson,2020,6,June
21716497,169900,2020-06-06,Johnson,2020,6,June
21744293,175000,2020-10-06,Johnson,2020,10,October
21731597,170000,2020-08-12,Johnson,2020,8,August
21720191,175000,2020-06-20,Johnson,2020,6,June
21742387,184900,2020-09-25,Johnson,2020,9,September
21721112,175000,2020-06-25,Johnson,2020,6,June
21752716,179000,2020-11-17,Johnson,2020,11,November
21749846,179900,2020-11-01,Johnson,2020,11,November
21743127,179900,2020-09-30,Johnson,2020,9,September
21740403,179900,2020-09-22,Johnson,2020,9,September
21725323,179900,2020-07-17,Johnson,2020,7,July
21748336,180000,2020-10-25,Johnson,2020,10,October
21739167,180000,2020-09-15,Johnson,2020,9,September
21735190,180000,2020-08-25,Johnson,2020,8,August
21723551,189999,2020-07-09,Johnson,2020,7,July
21751220,184900,2020-11-08,Johnson,2020,11,November
21720232,185000,2020-06-24,Johnson,2020,6,June
21745611,180000,2020-10-15,Johnson,2020,10,October
21729217,184900,2020-07-31,Johnson,2020,7,July
21746674,209900,2020-10-19,Johnson,2020,10,October
21744859,175000,2020-10-19,Johnson,2020,10,October
21736939,179000,2020-09-04,Johnson,2020,9,September
21723757,185000,2020-07-09,Johnson,2020,7,July
21720739,175000,2020-06-28,Johnson,2020,6,June
21748464,182000,2020-10-24,Johnson,2020,10,October
21743991,187000,2020-10-05,Johnson,2020,10,October
21721383,193000,2020-06-27,Johnson,2020,6,June
21734259,189000,2020-08-21,Johnson,2020,8,August
21744283,185000,2020-10-06,Johnson,2020,10,October
21725053,189900,2020-07-20,Johnson,2020,7,July
21723579,180000,2020-07-11,Johnson,2020,7,July
21723197,195000,2020-07-09,Johnson,2020,7,July
21723102,184900,2020-07-09,Johnson,2020,7,July
21716975,185000,2020-06-12,Johnson,2020,6,June
21736160,189900,2020-08-31,Johnson,2020,8,August
21729782,185000,2020-08-04,Johnson,2020,8,August
21721783,185000,2020-07-02,Johnson,2020,7,July
21718654,192000,2020-06-11,Johnson,2020,6,June
21746766,195000,2020-11-09,Johnson,2020,11,November
21728613,197000,2020-07-27,Johnson,2020,7,July
21753032,179900,2020-11-20,Johnson,2020,11,November
21720192,199900,2020-06-19,Johnson,2020,6,June
21735528,197500,2020-08-27,Johnson,2020,8,August
21725549,210000,2020-07-17,Johnson,2020,7,July
21737000,189900,2020-09-09,Johnson,2020,9,September
21748680,200000,2020-10-29,Johnson,2020,10,October
21746946,200000,2020-10-14,Johnson,2020,10,October
21745211,200000,2020-10-10,Johnson,2020,10,October
21744513,200000,2020-10-08,Johnson,2020,10,October
21736916,179900,2020-09-03,Johnson,2020,9,September
21720043,187500,2020-06-22,Johnson,2020,6,June
21719453,205000,2020-06-22,Johnson,2020,6,June
21750183,188900,2020-11-05,Johnson,2020,11,November
21730952,200000,2020-08-12,Johnson,2020,8,August
21744868,205000,2020-10-08,Johnson,2020,10,October
21726100,203000,2020-07-22,Johnson,2020,7,July
21737148,223000,2020-09-04,Johnson,2020,9,September
21730280,199900,2020-08-21,Johnson,2020,8,August
21751175,200000,2020-11-07,Johnson,2020,11,November
21744060,204900,2020-10-05,Johnson,2020,10,October
21726485,205000,2020-07-22,Johnson,2020,7,July
21719984,200000,2020-06-19,Johnson,2020,6,June
21732512,190000,2020-08-18,Johnson,2020,8,August
21732327,209900,2020-08-17,Johnson,2020,8,August
21731343,209900,2020-08-13,Johnson,2020,8,August
21728404,219900,2020-08-21,Johnson,2020,8,August
