GENDER,AGEGRP,DATE,COVID_COUNT,COUNTY_NAME,YEAR,MONTH,DAY,MONTH_NAME
F,0-19,2020-12-07 00:00:00,3,Boone,2020,12,7,December
F,0-19,2020-12-08 00:00:00,1,Boone,2020,12,8,December
F,0-19,2020-12-09 00:00:00,3,Boone,2020,12,9,December
F,0-19,2020-12-10 00:00:00,5,Boone,2020,12,10,December
F,0-19,2020-12-11 00:00:00,5,Boone,2020,12,11,December
F,0-19,2020-12-12 00:00:00,6,Boone,2020,12,12,December
F,0-19,2020-12-13 00:00:00,8,Boone,2020,12,13,December
F,0-19,2020-12-14 00:00:00,4,Boone,2020,12,14,December
F,0-19,2020-12-15 00:00:00,5,Boone,2020,12,15,December
F,0-19,2020-12-16 00:00:00,6,Boone,2020,12,16,December
F,0-19,2020-12-17 00:00:00,5,Boone,2020,12,17,December
F,0-19,2020-12-18 00:00:00,3,Boone,2020,12,18,December
F,0-19,2020-12-19 00:00:00,2,Boone,2020,12,19,December
F,0-19,2020-12-20 00:00:00,4,Boone,2020,12,20,December
F,0-19,2020-12-21 00:00:00,13,Boone,2020,12,21,December
F,0-19,2020-12-22 00:00:00,6,Boone,2020,12,22,December
F,0-19,2020-12-23 00:00:00,1,Boone,2020,12,23,December
F,0-19,2020-12-24 00:00:00,1,Boone,2020,12,24,December
F,0-19,2020-12-25 00:00:00,4,Boone,2020,12,25,December
F,0-19,2020-12-26 00:00:00,1,Boone,2020,12,26,December
F,0-19,2020-12-28 00:00:00,1,Boone,2020,12,28,December
F,0-19,2020-12-30 00:00:00,8,Boone,2020,12,30,December
F,0-19,2020-12-31 00:00:00,7,Boone,2020,12,31,December
F,0-19,2021-01-01 00:00:00,11,Boone,2021,1,1,January
F,0-19,2021-01-02 00:00:00,1,Boone,2021,1,2,January
F,0-19,2021-01-03 00:00:00,3,Boone,2021,1,3,January
F,0-19,2021-01-04 00:00:00,9,Boone,2021,1,4,January
F,0-19,2021-01-05 00:00:00,4,Boone,2021,1,5,January
F,0-19,2021-01-06 00:00:00,8,Boone,2021,1,6,January
F,0-19,2021-01-07 00:00:00,11,Boone,2021,1,7,January
F,0-19,2021-01-08 00:00:00,11,Boone,2021,1,8,January
F,0-19,2021-01-09 00:00:00,4,Boone,2021,1,9,January
F,0-19,2021-01-10 00:00:00,2,Boone,2021,1,10,January
F,0-19,2021-01-11 00:00:00,5,Boone,2021,1,11,January
F,0-19,2021-01-12 00:00:00,5,Boone,2021,1,12,January
F,0-19,2021-01-13 00:00:00,2,Boone,2021,1,13,January
F,0-19,2021-01-14 00:00:00,4,Boone,2021,1,14,January
F,0-19,2021-01-15 00:00:00,6,Boone,2021,1,15,January
F,0-19,2021-01-16 00:00:00,2,Boone,2021,1,16,January
F,0-19,2021-01-17 00:00:00,4,Boone,2021,1,17,January
F,0-19,2021-01-18 00:00:00,2,Boone,2021,1,18,January
F,0-19,2021-01-19 00:00:00,4,Boone,2021,1,19,January
F,0-19,2021-01-20 00:00:00,2,Boone,2021,1,20,January
F,0-19,2021-01-21 00:00:00,4,Boone,2021,1,21,January
F,20-29,2020-03-25 00:00:00,1,Boone,2020,3,25,March
F,20-29,2020-03-31 00:00:00,1,Boone,2020,3,31,March
F,20-29,2020-04-03 00:00:00,2,Boone,2020,4,3,April
F,20-29,2020-04-04 00:00:00,1,Boone,2020,4,4,April
