"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1001","21730850","S","SFD","10054 W SR 47 Rd","611","$350,000","3","1","1","WestBoone","NO SUBDIVISION","1","2LEVL","DETATCH,MULTI","2","2,188","Yes","2,692","14","MREC01"
"1001","21708316","S","SFD","9643 W 600 N","611","$380,000","6","3","0","WestBoone","NO SUBDIVISION","0","2LEVL","NONE","","3,419","Yes","4,560","107","DMTR01"
"1001","21726540","S","SFD","7350 N Sugar Creek Rd","611","$400,000","5","3","0","WestBoone","NO SUBDIVISION","1","1LEVL","ATTACH","2","2,072","Yes","3,928","4","PSRG01"
"1001","21734645","S","SFD","8375 N Burg Ave","612","$95,000","3","2","0","WestBoone","NO SUBDIVISION","0","1LEVL","DETATCH","2","1,227","No","1,227","26","CARP25"
"1001","21731278","S","SFD","5810 N State Road 39","612","$185,000","3","1","0","WestBoone","NO SUBDIVISION","0","1LEVL","DETATCH","2","1,437","No","1,437","3","FTRE02"
"1001","21718362","S","SFD","9334 N 175 W","612","$197,500","4","3","0","WestBoone","NO SUBDIVISION","1","1LEVL","ATTACH,OTHER","2","2,128","Yes","4,256","11","EARG01"
"1001","21737398","S","SFD","5779 State Road 47","612","$232,000","3","2","1","WestBoone","NO SUBDIVISION","0","2LEVL","DETATCH","2","1,890","No","1,890","17","KWLF01"
"1001","21676775","S","SFD","5656 W 700 N","612","$280,000","4","2","0","WestBoone","NO SUBDIVISION","1","2LEVL","ATTACH,DETATCH","4+","2,144","No","2,144","183","DPNG01"
"1001","21718303","S","SFD","5555 W State Road 47","612","$280,500","3","2","0","WestBoone","NO SUBDIVISION","1","1LEVL","ATTACH,DETATCH,MULTI","4+","1,866","Yes","3,266","4","REAB08"
"1001","21740416","S","SFD","7505 N 225 W","612","$325,000","3","2","0","WestBoone","NO SUBDIVISION","1","1LEVL","ATTACH","3","1,618","No","1,618","4","RIRC01"
"1001","21731362","S","SFD","731 W 500 N","612","$393,000","3","2","1","WestBoone","NO SUBDIVISION","1","2LEVL","ATTACH,MULTI","2","2,800","No","2,800","31","EZST01"
"1001","21728765","S","SFD","4855 N 275 W","612","$575,000","3","3","0","WestBoone","NO SUBDIVISION","1","2LEVL","ATTACH,DETATCH,MULTI","4+","5,070","No","5,070","48","REAB08"
"1001","21726200","S","SFD","4861 N 150 W","612","$575,000","3","2","1","WestBoone","NO SUBDIVISION","1","2LEVL","ATTACH","3","2,508","Yes","3,684","8","BREG01"
"1001","21728305","S","SFD","5110 W 450 N","612","$585,000","4","3","1","WestBoone","NO SUBDIVISION","0","1LEVL","ATTACH","3","2,212","Yes","3,535","2","CARP26"
