"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"2501","21731085","S","SFD","7731 Shelbyville Rd","4906","$267,500","3","2","1","FranklnTP","NO SUBDIVISION","0","2LEVL","ATTACH","2","1,523","No","1,523","4","HRLS01"
"2501","21738941","S","SFD","8637 Rapp Dr","4906","$268,000","4","2","1","Franklin","SMITH","1","3LEVL","ATTACH","2","2,528","Yes","3,280","3","JPTM01"
"2501","21743895","S","SFD","6612 Wolverine Way","4906","$269,000","4","2","1","FranklnTP","WESTBROOKE","1","2LEVL","ATTACH,TANDM","2","2,742","No","2,742","5","RHOT01"
"2501","21735538","S","SFD","10602 Vandergriff Rd","4906","$269,900","3","2","0","FranklnTP","NO SUBDIVISION","1","1LEVL","ATTACH","2","1,875","No","1,875","3","HSHR01"
"2501","21731534","S","SFD","8717 Maze Rd","4906","$275,000","4","3","0","FranklnTP","NO SUBDIVISION","0","1LEVL","DETATCH","2","2,178","No","2,178","9","RECH01"
"2501","21729865","S","CND","6023 Rockdell Dr","4906","$275,500","3","3","0","FranklnTP","ABBINGTON","1","2LEVL","ATTACH","2","2,362","No","2,362","23","RRLT01"
"2501","21729942","S","SFD","6080 Blue Fox Ln","4906","$276,000","3","2","0","FranklnTP","GREY FOX COMMONS","0","1LEVL","ATTACH","2","1,826","No","1,826","2","JPTM01"
"2501","21727744","S","SFD","6420 Fiesta St","4906","$278,000","5","4","1","FranklnTP","BURTON CROSSING","1","2LEVL","ATTACH","3","4,324","Yes","5,490","5","HMRE01"
"2501","21738992","S","SFD","10909 WONDERLAND Dr","4906","$279,000","4","2","1","FranklnTP","ALLANGALE WOODS","1","2LEVL","BUILTIN","2","2,720","No","2,720","2","KWIN02"
"2501","21730651","S","SFD","4423 Goose Rock Dr","4906","$281,000","3","2","1","FranklnTP","FOX HOLLOW","1","2LEVL","ATTACH","2","2,529","No","2,529","25","ESQR01"
"2501","21721720","S","SFD","7441 Giroud Dr","4906","$285,000","4","2","1","FranklnTP","BEL MOORE","1","2LEVL","ATTACH","3","2,136","No","2,136","4","CESC02"
