MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21656276,,Residential,Single Fam,,Karleigh,Jessica Carl Roof,,315000,309900,2019-07-23,2020-01-23,"American Realty Network, LLC",Goitom E. Beyen
21665080,,Residential,Single Fam,,SCHOOL BRANCH,Brittany Perry,,295000,295000,2019-08-30,2019-10-31,F.C. Tucker Company,Levi Lucas
21633122,,Residential,Single Fam,,COUNTY ROAD 900 N,Eric Coldren,,309900,309900,2019-04-15,2019-10-31,Streamlined Realty,Avery Garrett
21643416,,Residential,Single Fam,,Finchum,Matthew Reffeitt,,299900,299900,2019-05-30,2019-11-30,"Front Porch Real Estate, LLC",Suzanne Vick
21641340,,Residential,Single Fam,,County Road 1025,Sandra J. Tavel,,299900,299900,2019-05-16,2019-11-16,RE/MAX Centerstone,Kelly L. Wood
21633267,,Residential,Single Fam,,Iris,Matthew Reffeitt,,299900,299900,2019-04-16,2019-10-16,DAVID BRENTON'S TEAM,David C. Brenton
21635688,,Residential,Single Fam,,COUNTY ROAD 1000 E,Kristin Tomyn,,300000,300000,2019-06-19,2019-11-02,F.C. Tucker Company,Tamra J. Sutton
21651653,,Residential,Single Fam,,Prelude,Jonathan Bell,Scott White,309651,308103,2019-07-01,2020-01-03,Non-BLC Office,Non-BLC Member
21651664,,Residential,Single Fam,,Prelude,Jonathan D. Bell,Scott White,306966,306966,2019-07-01,2019-09-30,Redfin Corporation,Richard Ardaiolo
21639462,,Residential,Single Fam,,Flat Ridge,Justin Capps,,324900,316900,2019-05-09,2019-08-09,"Sandcastle Real Estate, LLC",Stacie Kidwell
21659540,,Residential,Single Fam,,CR 1000,Olen Miller,,320000,320000,2019-08-02,2020-02-02,"Russo Realty Group, LLC",Michele Russo
21638594,,Residential,Single Fam,,Parkview,Michele Allison,,324900,324900,2019-05-06,2019-11-06,"Carpenter, REALTORS®",Claire Anne Aikman
21645920,,Residential,Single Fam,,Knockawuddy,Tamara A. Carroll,,329900,319900,2019-06-08,2019-12-08,Keller Williams Indy Metro W,Marissa R. Bryant
21674679,,Residential,Single Fam,,Park Meadows,Bradley A. Grant,,325000,319900,2019-10-12,2020-04-12,CENTURY 21 Scheetz,Bradley A. Grant
21670006,,Residential,Single Fam,,County Road 650 E,Jeremy A. Page,,299900,299900,2019-09-20,2020-03-20,Keller Williams Indy Metro W,Dale E. Schmidt
21652784,,Residential,Single Fam,,Nicole,Jeanette L. Hammel,,310000,310000,2019-07-09,2020-01-09,Keller Williams Indpls Metro N,Ryan Radecki
21657984,,Residential,Single Fam,,Shoal Creek,Debbie McMillan,,330000,330000,2019-07-27,2019-12-30,Berkshire Hathaway Home,Timothy O'Connor
21658600,,Residential,Single Fam,,Homewood,Timothy O'Connor,Gurpartap Gill,325000,327000,2019-07-31,2020-02-01,"Pursuit Realty, LLC",Linda Ball
21644741,,Residential,Single Fam,,Highland Park,Christopher G. Price,Lori Davis Smith,339000,339000,2019-06-06,2020-01-10,Homewise Realty LLC,Joseph C. Gray
21647453,,Residential,Single Fam,,Seafield,Stacy Preston,,340000,340000,2019-06-18,2019-12-18,F.C. Tucker Company,Terry Waggoner
21679154,,Residential,Single Fam,,Southern Oak,Thomas Endicott,Tom Fisher,349900,349900,2019-11-01,2020-04-30,CENTURY 21 Scheetz,Jennifer Rumbaoa
21666821,,Residential,Single Fam,,Whiting Bay,Jamie Hall,Lea K. Grove,360000,345000,2019-09-12,2020-02-12,Keller Williams Indy Metro NE,Shelley Hansell
21645048,,Residential,Single Fam,,River Ridge,Lynn Geis,,349900,345900,2019-06-30,2019-12-30,The Vearus Group,Mark S. Simison
21667001,,Residential,Single Fam,,Barberry,Mark A. Lopez,,355000,355000,2019-09-13,2020-03-13,"Carpenter, REALTORS®",Claire Anne Aikman
21639690,,Residential,Single Fam,,Terrill,Bradley Grant,,369170,369170,2019-05-10,2020-05-10,Homewise Realty LLC,Joseph C. Gray
21635980,,Residential,Single Fam,,Woodview,Warren Smith,David S. Christopher,357000,357000,2019-04-24,2019-10-24,Keller Williams Indy Metro NE,Heather Upton
21646012,,Residential,Single Fam,,Estate,Summer Thomas,,359000,359000,2019-06-18,2019-12-18,"Cottingham Realty, Appraisal",Jennifer S. Broida
21650485,,Residential,Single Fam,,Walker Cup,Andrew Edwards,,389900,359900,2019-06-25,2019-12-25,Plat Collective,Crystal White
21612641,,Residential,Single Fam,,Windsong,Reba Evans,Marlene Bradley,379000,374000,2018-12-31,2019-06-30,New Dimensions in Real Estate,Nathan Pfahler
21651127,,Residential,Single Fam,,Walker Cup,Michael McCooey,,369000,369000,2019-06-27,2020-06-27,"Terra Real EState, LLC",Mike Cole II
21659509,,Residential,Single Fam,,English Oak,Jeremy Page,,365000,365000,2019-08-08,2019-12-08,"Carpenter, REALTORS®",Geovia N. Balaba
21640680,,Residential,Single Fam,,Shady Bend,Walt O'Riley,,379900,379900,2019-05-14,2019-10-31,CENTURY 21 Scheetz,Denise Fiore
21619404,,Residential,Single Fam,,Julia Ann,Jamie Hall,Lea K. Grove,397900,379900,2019-02-18,2019-06-18,NextHome Connection,Justine Bright
21660449,,Residential,Single Fam,,Whispering,Valerie Edwards - Perry,,364900,364900,2019-08-07,2020-02-17,CENTURY 21 Scheetz,Laura H. Heigl
21647933,,Residential,Single Fam,,County Road 650,Karen Lewis,,365000,365000,2019-06-20,2020-06-20,"Indiana REO Homes 2, Inc.",Valerie J. Wigington
21651552,,Residential,Single Fam,,St John,Catherine Burris,,450000,395000,2019-07-01,2019-12-01,"Carpenter, REALTORS®",Jeremy A. Page
21641356,,Residential,Single Fam,,Walker Cup,Jamie Hall,Lea K. Grove,377900,377900,2019-05-17,2019-10-17,"Carpenter, REALTORS®",Jamie Hall
21639704,,Residential,Single Fam,,Hatfield,Bradley Grant,,399995,399995,2019-05-10,2020-05-10,Non-BLC Office,Non-BLC Member
21667305,,Residential,Single Fam,,Dartmouth,Warren Smith,David S. Christopher,399900,393000,2019-09-10,2020-01-10,Keller Williams Indy Metro W,Ambrosia Ramirez
21679893,,Residential,Single Fam,,Windridge,Debbie McMillan,,379900,379900,2019-11-06,2020-05-06,RE/MAX Centerstone,Lynn M. Geis
21666151,,Residential,Single Fam,,CREEK RIDGE,Matthew Reffeitt,,399900,399900,2019-09-05,2020-03-05,Keller Williams Indy Metro W,Dawn Davis
21654043,,Residential,Single Fam,,River Ridge,Mike Duncan,,399000,399000,2019-07-12,2020-01-31,Keller Williams Indy Metro W,Debbie McMillan
21617272,,Residential,Single Fam,,Whiting Bay,Nathan Pfahler,,409900,399900,2019-02-13,2019-07-13,F.C. Tucker Company,Beau Benjamin
21626703,,Residential,Single Fam,,Leather Oak,Tom McNulty,Pat McNulty,419900,399900,2019-03-13,2019-09-13,CENTURY 21 Scheetz,Jessica Carl Roof
21640392,,Residential,Single Fam,,COUNTY ROAD 650,Dale Hammond,,249900,415000,2019-05-13,2019-11-12,"Carpenter, REALTORS®",Dale Hammond
21652713,,Residential,Single Fam,,Walker Cup,Ryan Radecki,,395000,395000,2019-07-08,2019-10-31,Mike Duncan Real Estate Group,Mike Duncan
21642831,,Residential,Single Fam,,Hatfield,Bradley Grant,,439775,419775,2019-05-24,2020-05-24,Keller Williams Indy Metro NE,Sheri Coldren
21641700,,Residential,Single Fam,,County Road 800,Kelly L. Wood,David Charles,445000,414900,2019-05-20,2019-11-30,Keller Williams Indpls Metro N,Debbie Van Wyck
