MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21687416,,Residential,Single Fam,,Thistlewood,Marie Edwards,,224955,224955,2019-12-31,2020-12-31,"Carpenter, REALTORS®",Kimberly Brennan
21723042,,Residential,Single Fam,,Jaybird,Herbert Rice,,220000,220000,2020-07-17,2020-12-31,F.C. Tucker Company,Tracy L. Vatnsdal
21700555,,Residential,Single Fam,,Liberty,Edie Horan,,225000,225000,2020-03-16,2020-06-16,"Front Porch Real Estate, LLC",Jeanine Levine
21700453,,Residential,Single Fam,,Muskegon,Charlotte Kirkwood,,230000,224900,2020-03-25,2020-09-25,"Hot House Realty, LLC",David Krasnow
21708935,,Residential,Single Fam,,Thistlewood,Marie Edwards,,227284,227284,2020-05-07,2021-05-31,Keller Williams Indy Metro S,Garrett J. Pennington
21751499,,Residential,Single Fam,,Thunderwood,Rachel Schaller,,227119,227119,2020-10-23,2021-04-29,"Real Estate Connect, LLC",Chris Karr
21721119,,Residential,Single Fam,,MERIDIAN,Christina A. Thirion,,219900,219900,2020-06-25,2020-12-25,RE/MAX Ability Plus,David E. Allen
21736788,,Residential,Single Fam,,Jaybird,Andrew Newkirk,,223000,223000,2020-09-03,2021-03-03,F.C. Tucker Company,Jennifer Butts
21708621,,Residential,Single Fam,,Water Wheel,Mark Dudley,Jeffrey K. Clark,239900,239900,2020-05-06,2020-10-30,"Carpenter, REALTORS®",Deborah Flowers
21707259,,Residential,Single Fam,,Longleaf,Marie Edwards,,227693,227693,2020-04-28,2021-04-30,RE/MAX Realty Group,Debbie G. Yozipovich
21685254,,Residential,Single Fam,,Meridian Springs,Marie Edwards,,233000,224000,2019-12-12,2020-12-31,Keller Williams Indy Metro NE,Bryce A. Higgins
21703990,,Residential,Single Fam,,Rocky,Marie Edwards,,227673,224900,2020-04-07,2021-04-30,Keller Williams Indy Metro NE,Lindsey Henry
21697684,,Residential,Single Fam,,Arrowhead,Pamela Hornett,,245000,245000,2020-02-29,2020-08-31,RE/MAX Real Estate Prof,Robyn Agnew
21722085,,Residential,Single Fam,,Thistlewood,Marie Edwards,,266810,226810,2020-06-30,2021-06-30,"Carpenter, REALTORS®",Claire Anne Aikman
21714946,,Residential,Single Fam,,Van Buren,Marie Edwards,,225856,225856,2020-05-29,2021-05-31,Non-BLC Office,Non-BLC Member
21734698,,Residential,Single Fam,,Fresno,Marie Edwards,,225880,225880,2020-08-24,2021-08-31,Berkshire Hathaway Home,Tammy L. Springman
21711577,,Residential,Single Fam,,Tracewood,Rachel Schaller,,213990,226990,2020-06-01,2021-06-01,RE/MAX Advanced Realty,Bryce A. Higgins
21721391,,Residential,Single Fam,,Tracewood,Rachel Schaller,,229990,229990,2020-06-26,2021-06-26,Turnkey Realty of Indiana LLC,Brittany Burke
21701759,,Residential,Single Fam,,Swope,Tina C. Vandenbark,,229900,229900,2020-03-23,2020-08-23,"Landtree, REALTORS®",Joyce A. Young
21715838,,Residential,Condo,,Lexington,Mark Dudley,,229500,229500,2020-06-02,2020-11-28,F.C. Tucker Company,Ben Crouch
21743150,,Residential,Single Fam,,Carson,Marie Edwards,,229900,229900,2020-09-30,2021-09-30,RE/MAX Advanced Realty,David M. Cook
21742927,,Residential,Single Fam,,BOWMAN,Jeffrey D. Paxson,,250000,235000,2020-09-29,2021-03-29,CENTURY 21 Scheetz,Michael Botkin
21710596,,Residential,Single Fam,,Stonewall,Ben Crouch,Rita Fish,229900,229900,2020-05-15,2020-08-15,RE/MAX Realty Group,Sue Mize
21754511,,Residential,Single Fam,,Shepherd,Erin Garvey,,234900,234900,2020-11-20,2021-05-16,"Front Porch Real Estate, LLC",Vickie L. Jordan
21735944,,Residential,Single Fam,,Pippin,Kali Cooper,,230000,230000,2020-08-30,2021-02-28,Berkshire Hathaway Home,Stacy L. West
21722992,,Residential,Single Fam,,MCCLELLAN,Brandon S. Cooper,Kiley J. Cooper,219900,230000,2020-07-06,2020-12-31,Keller Williams Indy Metro S,Merissa Houston
21708398,,Residential,Single Fam,,Copeland Farms,Tamra J. Sutton,,235000,230000,2020-05-04,2020-11-04,"Carpenter, REALTORS®",Morris D Lucas
21749445,,Residential,Single Fam,,Fresno,Marie Edwards,,231953,231953,2020-10-28,2021-10-31,Non-BLC Office,Non-BLC Member
