"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1001","21758628","S","SFD","511 Cornwall Ct","2910","$780,000","4","3","1","Carmelclay","SPRINGMILL STREAMS","1","2LEVL","ATTACH","3","3,954","Yes","5,068","1","BHHS12"
"1001","21734892","S","SFD","1938 Spruce Dr","2910","$780,000","5","5","1","Carmelclay","WEDGEWOOD","1","2LEVL","ATTACH","3","3,972","Yes","5,690","4","TUCK07"
"1001","21737470","S","SFD","1067 Oswego Rd","2910","$782,500","4","3","0","Carmelclay","NEWARK","1","1LEVL","ATTACH,MULTI","3","2,193","Yes","4,024","6","BHHS01"
"1001","21724902","S","SFD","10868 ONYX Dr","2910","$789,000","5","4","1","Carmelclay","KINGS MILL","1","2LEVL","ATTACH","3","4,208","Yes","6,834","62","CRHR01"
"1001","21738291","S","SFD","9631 Summerlakes Dr","2910","$790,000","3","3","1","Carmelclay","SUMMERLAKES","1","1LEVL","ATTACH","4+","6,692","Yes","9,327","5","MICO01"
"1001","21750767","S","SFD","12142 Bayhill Dr","2910","$790,500","4","4","1","Carmelclay","BAYHILL","2","2LEVL","ATTACH","3","3,470","Yes","5,260","2","BHHS12"
"1001","21716531","S","SFD","9649 N Shelborne Rd","2910","$795,000","5","5","1","Carmelclay","SHELBORNE GREENE","2","2LEVL","ATTACH","3","3,782","Yes","5,787","65","HTEN01"
"1001","21728352","S","SFD","13191 Gatman Ct","2910","$798,900","4","5","0","Carmelclay","VILLAGE OF TOWNE POINTE","2","2LEVL","ATTACH","4+","4,290","Yes","6,380","75","TUCK07"
"1001","21729997","S","SFD","13112 Brooks Landing Pl","2910","$800,000","7","6","1","Carmelclay","BROOKS LANDING AT PRAIRIE","3","2LEVL","ATTACH","3","4,838","Yes","7,263","12","TUCK10"
"1001","21668474","S","SFD","1591 Preston Trl","2910","$800,000","5","4","1","Carmelclay","CROOKED STICK","3","2LEVL","ATTACH","3","4,670","Yes","6,077","327","TUCK10"
"1001","21724983","S","SFD","3733 Aldrew Pl","2910","$800,448","4","4","1","Carmelclay","GRANNAN GROVE","1","1LEVL","ATTACH","3","2,927","Yes","4,678","8","EZST02"
"1001","21735415","S","SFD","3313 Homestretch Dr","2910","$810,000","6","4","1","Carmelclay","SADDLEBROOK AT SHELBORNE","1","2LEVL","ATTACH","3","4,062","Yes","5,687","4","TUCK14"
"1001","21701151","S","SFD","1955 Trowbridge High St","2910","$810,000","5","4","1","Carmelclay","VILLAGE OF WESTCLAY","2","2LEVL","ATTACH","3","3,596","Yes","5,326","99","ECOR01"
"1001","21725288","S","SFD","3203 Homestretch Dr","2910","$815,000","5","4","1","Carmelclay","SADDLEBROOK AT SHELBORNE","1","2LEVL","ATTACH","3","3,367","Yes","5,102","3","CESC01"
"1001","21721290","S","SFD","3211 Homestrech Dr","2910","$815,000","5","4","1","Carmelclay","SADDLEBROOK","1","2LEVL","ATTACH","3","3,736","Yes","4,998","4","TUCK14"
"1001","21719250","S","SFD","3471 Yancey Pl","2910","$820,000","7","5","1","Carmelclay","ASHMOOR","2","2LEVL","ATTACH","3","4,260","Yes","7,100","16","PDIG01"
"1001","21718198","S","SFD","12321 Jackson Grant Blvd","2910","$820,000","5","5","2","Carmelclay","JACKSON'S GRANT","1","2LEVL","ATTACH","2","3,673","Yes","5,579","52","TUCK14"
"1001","21652697","S","SFD","14330 Shelborne Rd","2910","$830,000","4","3","1","Carmelclay","NO SUBDIVISION","1","2LEVL","ATTACH,DETATCH,MULTI","2","2,924","Yes","4,211","344","TUCK31"
"1001","21709282","S","SFD","10517 Hyde Park","2910","$835,000","5","6","1","Carmelclay","WINDEMERE","4","3LEVL","ATTACH","3","5,206","Yes","7,523","96","FYDE01"
"1001","21719038","S","SFD","12430 Bellingrath St","2910","$838,500","6","4","1","Carmelclay","VILLAGE OF WESTCLAY","2","2LEVL","ATTACH","3","4,760","Yes","7,100","68","ECOR01"
"1001","21727800","S","SFD","14022 STAGHORN Dr","2910","$848,000","6","5","1","Carmelclay","BUCKHORN","3","2LEVL","ATTACH","3","4,879","Yes","7,482","126","REAB09"
"1001","21739262","S","SFD","686 Mayfair Ln","2910","$850,000","5","5","2","Carmelclay","CLAYBRIDGE","2","2LEVL","ATTACH","3","5,093","Yes","6,841","1","BHHS01"
"1001","21728233","S","SFD","1706 Summerlakes Ct","2910","$850,000","5","4","1","Carmelclay","SUMMERLAKES","2","2LEVL","ATTACH","3","4,986","Yes","6,725","4","TUCK14"
"1001","21716813","S","SFD","4895 DEER RIDGE Dr N","2910","$850,000","5","4","1","Carmelclay","VALLEYBROOK","4","2LEVL","ATTACH","3","4,600","Yes","5,815","18","BHHS01"
"1001","21671526","S","SFD","12823 Bird Cage Walk","2910","$850,000","4","4","1","Carmelclay","VILLAGE OF WESTCLAY","1","2LEVL","ATTACH","3","3,339","Yes","5,131","303","REAB09"
"1001","21757922","S","SFD","842 W Auman Dr","2910","$851,364","5","4","1","Carmelclay","AUMANS","1","2LEVL","ATTACH","3","3,198","Yes","4,700","1","NBLC01"
"1001","21723728","S","SFD","3292 Homestretch Dr","2910","$860,000","5","5","1","Carmelclay","SADDLEBROOK AT SHELBORNE","1","3LEVL","ATTACH","3","4,057","Yes","5,888","12","BHHS01"
"1001","21731283","S","SFD","3324 Shelborne Woods Pkwy","2910","$873,000","6","4","2","Carmelclay","WOODS AT SHELBORNE","1","2LEVL","ATTACH","3","4,004","Yes","6,043","16","ANNM01"
"1001","21736847","S","SFD","310 Shoshone Dr","2910","$874,700","4","3","1","Carmelclay","AUMANS","2","2LEVL","ATTACH","3","3,118","Yes","4,601","39","BHHS12"
"1001","21731253","S","SFD","13110 Brooks Landing Pl","2910","$874,900","6","5","1","Carmelclay","BROOKS LANDING AT PRAIRIE","3","2LEVL","ATTACH","3","4,271","Yes","6,466","3","TUCK10"
"1001","21725063","S","SFD","13362 Winter King Ct","2910","$875,000","6","5","1","Carmelclay","GLEN OAKS","2","2LEVL","ATTACH,TANDM","4+","4,528","Yes","7,398","10","EZST02"
"1001","21721030","S","CND","720 S Rangeline Rd Unit#604","2910","$875,000","3","3","0","Carmelclay","CARMEL CITY CENTER","0","1LEVL","OTHER","2","2,985","No","2,985","48","KWIN05"
"1001","21707634","S","SFD","5374 Randolph Crescent Dr","2910","$880,000","5","5","1","Carmelclay","GRANDIN HALL","2","3LEVL","ATTACH","3","4,047","Yes","6,596","131","REAB09"
