MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21732391,,Residential,Condo,,East,Randy Farrell,,540900,540900,2020-08-17,,,
21714704,,Residential,Single Fam,,Central,Larry Gregerson,,575000,549900,2020-06-02,,,
21728938,,Residential,Single Fam,,Arsenal,Nicole Holstein,Josh Holstein,600000,550000,2020-08-12,,,
21732401,,Residential,Condo,,East,Luci Chalian,,612900,612900,2020-08-17,,,
21716126,,Residential,Condo,,East,Randy Farrell,,614200,615500,2020-06-04,,,
21732395,,Residential,Condo,,East,Larry Gregerson,,622600,622600,2020-08-17,,,
21723071,,Residential,Single Fam,,Carrollton,Joe Everhart,Quinn Demaree,750000,725000,2020-07-06,,,
21720383,,Residential,Single Fam,,Delaware,Joe Everhart,Quinn Demaree,800000,750000,2020-06-22,,,
21723105,,Residential,Single Fam,,Alabama,David Jessee,,830000,775000,2020-07-07,,,
21725401,,Residential,Condo,,OHIO,Adam Corya,,899000,899000,2020-07-16,,,
21724233,,Residential,Single Fam,,PARK,Joe Everhart,Quinn Demaree,975000,925000,2020-07-14,,,
21731317,,Residential,Single Fam,,New Jersey,Beth Guthrie,Thomas Brueggemann,1095000,1074000,2020-08-13,,,
21721633,,Residential,Single Fam,,PENNSYLVANIA,Joe Everhart,Quinn Demaree,1500000,1500000,2020-06-29,,,
21731231,,Residential,Single Fam,,Apple,Seann Tischler,,89000,55000,2020-08-11,,,
21720753,,Residential,Single Fam,,Orange,Jessica Bischoff,,165000,144000,2020-07-02,,,
21736266,,Residential,Single Fam,,Orleans,Jason Basso,,299900,225000,2020-08-31,,,
21728228,,Residential,Single Fam,,Palmer,Mina Starsiak,,270000,259000,2020-07-27,,,
21723586,,Residential,Single Fam,,Cottage,Todd Messer,David Whitlow,319900,299900,2020-07-08,,,
21734544,,Residential,Single Fam,,English,Faith Leininger,,329900,339000,2020-08-22,,,
21728358,,Residential,Single Fam,,Talbott,Mina Starsiak,,369000,399000,2020-07-27,,,
21728642,,Residential,Single Fam,,Mckim,Michael Wyatt,,399900,399900,2020-07-28,,,
21716367,,Residential,Condo,,MERIDIAN,Larry Gregerson,,425000,425000,2020-06-08,,,
21730906,,Residential,Condo,,Virginia,Christi Coffey,Amanda C. Spicer,584900,529900,2020-08-29,,,
