MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21754420,,Residential,Single Fam,,HEATHERWOOD,John Curtis,,349900,349900,2020-11-20,2020-12-20,F.C. Tucker Company,John Curtis
21745617,,Residential,Single Fam,,Three Arch Overlook,Michael Guzman,,349900,349900,2020-10-21,2021-01-21,F.C. Tucker Company,Jonathan William Steinbach
21740720,,Residential,Single Fam,,6th,Nancy Mutchmore,,365000,349900,2020-09-28,2020-12-31,F.C. Tucker Company,Abigail Heater
21702475,,Residential,Single Fam,,Americana,Clay Burris,,346875,349995,2020-03-27,2021-03-27,Berkshire Hathaway Home,Julianne Deely
21730844,,Residential,Single Fam,,Stony Creek,Kelly Huff,,360000,360000,2020-10-12,2021-10-11,CENTURY 21 Scheetz,Valerie McNerney
21723434,,Residential,Single Fam,,Brookston,James Wilson,Bart Gauker,369900,365000,2020-07-08,2021-01-31,RE/MAX Legends Group,Marcus Jess
21711388,,Residential,Single Fam,,Valiant,Clay Burris,,357370,357995,2020-05-21,2021-05-21,"Carpenter, REALTORS®",Harvir Kaur
21734725,,Residential,Single Fam,,Ramsey,Craig Fletchall,,345000,345000,2020-08-25,2020-11-25,F.C. Tucker Company,Rena M. Swails
21756523,,Residential,Single Fam,,Beverly Shones,Unknown Non-BLC Member,,352995,352995,2020-12-09,2020-12-10,Keller Williams Indpls Metro N,Derek Gutting
21728530,,Residential,Single Fam,,Edwards Grove,Marie Edwards,,340323,340323,2020-07-28,2021-07-31,Highgarden Real Estate,Shannon Gilbert
21721730,,Residential,Single Fam,,Maple Grove,Jennifer Deakyne,Peggy Deakyne,354900,354900,2020-07-06,2021-01-06,F.C. Tucker Company,Andrew M. Liechty
21755502,,Residential,Single Fam,,Beverly Shones,Unknown Non-BLC Member,,355000,355000,2020-12-08,2020-12-09,Highgarden Real Estate,Carrie A. Holle
21739721,,Residential,Single Fam,,Salisbury,Donna White,,375000,355000,2020-09-18,2021-03-18,F.C. Tucker Company,Karey J. Bredemeyer
21737983,,Residential,Single Fam,,Pepper Tree,Cameron Buening,,355000,355000,2020-09-10,2021-02-28,Keller Williams Indpls Metro N,Cameron Buening
21731965,,Residential,Single Fam,,Dundee,John Curtis,,349500,349500,2020-08-19,2020-10-19,Redfin Corporation,Craig McLaurin
21725702,,Residential,Single Fam,,Newark,Molly Ittenbach,,372000,369900,2020-07-18,2021-01-18,F.C. Tucker Company,Lynn A. Lawless
21742615,,Residential,Single Fam,,Linnet,Non-BLC Member,,355544,355544,2020-08-12,2021-03-28,RE/MAX Ability Plus,Herbert Rice
21736673,,Residential,Single Fam,,NEWARK,Linda Freeman,,359900,359900,2020-09-03,2021-01-04,RE/MAX Complete,Jeffrey D. Cummings
21748654,,Residential,Single Fam,,Westminster,Mallorie E. Wilson,Laura Brinkley,339900,339900,2020-10-25,2021-04-24,F.C. Tucker Company,Molly Hadley
21723762,,Residential,Single Fam,,Chesterfield,John Curtis,,349500,349500,2020-07-09,2021-01-09,Highgarden Real Estate,Rich Goeman
21708882,,Residential,Single Fam,,Beverly Shones,Andy Sheets,,369995,369995,2020-05-07,2021-05-07,ERA Real Estate Links,Christie L. Robertson
