"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1001","21708653","S","SFD","16438 Chalet Cir","2913","$485,000","5","4","1","WestWashn","OAK MANOR","1","2LEVL","ATTACH","3","3,351","Yes","4,825","1","REMD01"
"1001","21707084","S","SFD","16649 Holly Oak Dr","2913","$485,000","5","4","1","WestWashn","OAK MANOR","0","2LEVL","ATTACH","3","3,038","Yes","4,377","73","BHHS01"
"1001","21705370","S","SFD","1556 Birdsong Dr","2913","$485,000","5","4","1","WestWashn","HARMONY","1","1LEVL","ATTACH","3","2,915","Yes","4,662","26","TUCK07"
"1001","21694297","S","SFD","21296 Freemont Moore Rd","2913","$487,500","3","2","1","WestWashn","NO SUBDIVISION","1","2LEVL","ATTACH","2","2,324","No","2,324","14","REAB01"
"1001","21702135","S","SFD","728 Racetime Rd","2913","$488,000","4","4","1","WestWashn","TWO GAITS AT VIKING MEADOWS","1","3LEVL","ATTACH","3","3,252","Yes","4,964","77","BHHS12"
"1001","21701499","S","SFD","16408 Brigham Ln","2913","$489,000","2","3","0","WestWashn","Wood Wind","1","1LEVL","ATTACH","3","2,170","Yes","3,988","60","DREZ01"
"1001","21639592","S","SFD","311 N East St","2913","$489,732","4","3","1","WestWashn","NO SUBDIVISION","1","2LEVL","ATTACH","2","1,205","No","2,607","429","KWIN01"
"1001","21693225","S","SFD","3328 Adare Cir","2913","$492,500","4","3","1","WestWashn","BRIDGEWATER CLUB","2","1LEVL","ATTACH","3","2,160","Yes","3,705","113","BHHS12"
"1001","21702271","S","SFD","15047 Glenmoor Cir","2913","$494,900","6","3","1","WestWashn","VILLAGE AT BRIDGEWATER","1","2LEVL","ATTACH","3","3,618","Yes","5,327","23","CESC04"
"1001","21662179","S","SFD","15274 Long Cove Blvd","2913","$495,000","3","3","1","WestWashn","BRIDGEWATER CLUB","1","2LEVL","ATTACH","2","2,926","No","2,926","264","TUCK24"
"1001","21642997","S","SFD","15581 Edenvale Dr","2913","$495,000","4","3","1","WestWashn","HARMONY","1","2LEVL","ATTACH","3","2,688","Yes","3,496","320","TUCK07"
"1001","21714798","S","SFD","16921 Snowdon Cir","2913","$499,998","4","3","1","WestWashn","VILLAGES OF OAK MANOR","1","2LEVL","ATTACH","2","3,123","Yes","4,323","2","HMSR01"
"1001","21699189","S","SFD","14704 Victory Ct","2913","$510,000","6","4","1","WestWashn","VILLAGE FARMS","2","2LEVL","ATTACH","3","3,533","Yes","5,116","93","EXPL01"
"1001","21723368","S","SFD","3468 Pace Dr","2913","$512,005","4","2","1","WestWashn","BELMONT WOODS","1","1LEVL","ATTACH","3","2,559","Yes","3,815","14","NBLC01"
"1001","21712355","S","SFD","3551 Snowdon Dr","2913","$517,036","4","3","2","WestWashn","VILLAGES OF OAK MANOR","1","2LEVL","ATTACH","3","2,615","Yes","4,234","2","HMSR01"
"1001","21705818","S","SFD","308 Zenith Dr","2913","$519,000","5","4","1","WestWashn","SPRINGMILL PARK","1","2LEVL","ATTACH","3","2,750","Yes","4,300","15","PDIG01"
"1001","21705852","S","SFD","16847 Gaither Blvd","2913","$525,000","6","4","1","WestWashn","WALNUT RIDGE","1","2LEVL","ATTACH","3","3,972","Yes","5,895","20","TUCK18"
"1001","21712207","S","SFD","14990 Dawnhaven Dr","2913","$530,000","5","4","1","WestWashn","HARMONY","1","2LEVL","ATTACH","3","3,367","Yes","4,802","26","BHHS01"
"1001","21724987","S","SFD","16141 Kinsale Dr","2913","$535,000","3","3","0","WestWashn","BRIDGEWATER CLUB","2","1LEVL","ATTACH","4+","1,968","Yes","3,315","1","BHHS12"
"1001","21701490","S","SFD","2505 W 206th St","2913","$538,000","5","5","0","WestWashn","NO SUBDIVISION","1","2LEVL","ATTACH,DETATCH,MULTI","4+","2,906","Yes","4,570","65","KWIN01"
"1001","21725523","S","SFD","3861 Shady Lake Dr","2913","$545,990","4","3","0","WestWashn","THE LAKES AT SHADY NOOK","1","1LEVL","ATTACH","3","2,562","Yes","3,818","1","NBLC01"
"1001","21707903","S","SFD","1348 Trifecta Way","2913","$546,416","5","3","1","WestWashn","DERBY RIDGE","1","2LEVL","BUILTIN","3","3,285","Yes","5,468","3","HMSR01"
"1001","21697739","S","SFD","3384 Pace Dr","2913","$549,198","4","3","0","WestWashn","BELMONT WOODS","1","1LEVL","ATTACH","3","2,539","Yes","3,795","92","CESC04"
"1001","21712346","S","SFD","1356 Trifecta Way","2913","$566,380","4","3","2","WestWashn","DERBY RIDGE","1","MULTI","ATTACH,MULTI","3","2,670","Yes","4,327","2","HMSR01"
"1001","21726058","S","SFD","3534 CAREY GLEN Ct","2913","$575,000","5","5","0","WestWashn","CAREY GLEN","1","2LEVL","ATTACH","3","3,919","Yes","5,244","1","NBLC01"
"1001","21696684","S","SFD","19702 Six Points Rd","2913","$575,000","3","2","1","WestWashn","NO SUBDIVISION","2","2LEVL","ATTACH,DETATCH,MULTI","2","2,210","Yes","3,730","68","KWIN01"
"1001","21697477","S","SFD","15110 Champion Cir","2913","$586,900","5","4","1","WestWashn","BRIDGEWATER CLUB","2","2LEVL","ATTACH","3","3,625","Yes","5,268","94","TUCK14"
"1001","21706102","S","SFD","2727 W 166th St","2913","$589,900","5","4","0","WestWashn","NO SUBDIVISION","1","2LEVL","ATTACH","2","2,724","Yes","4,338","24","RELL01"
"1001","21715654","S","SFD","16885 Oak Manor Dr","2913","$590,000","5","5","1","WestWashn","OAK MANOR","1","2LEVL","ATTACH","3","3,904","Yes","5,663","11","BHHS12"
"1001","21715562","S","SFD","3161 Hallfield Rd","2913","$592,595","4","3","1","WestWashn","HAWTHORNE RIDGE","0","2LEVL","ATTACH,OTHER","3","3,619","Yes","6,051","2","NBLC01"
"1001","21697542","S","SFD","2662 Diamente Dr","2913","$594,000","5","4","1","WestWashn","OAK MANOR","1","2LEVL","ATTACH","3","3,774","Yes","5,424","34","BHHS01"
"1001","21718780","S","SFD","16906 Oak Manor Dr","2913","$595,000","3","3","0","WestWashn","OAK MANOR","2","1LEVL","ATTACH","3","2,278","Yes","4,556","2","ECOR01"
"1001","21708090","S","SFD","2918 Sawtooth Oak Ct.","2913","$600,000","5","4","1","WestWashn","OAK MANOR","2","2LEVL","ATTACH","3","3,654","Yes","5,189","34","FRRS01"
"1001","21693444","S","SFD","16815 Glen Ct","2913","$610,000","3","2","1","WestWashn","BROOKSIDE","1","1LEVL","ATTACH","3","2,552","Yes","3,794","90","CESC04"
"1001","21728322","S","SFD","16371 Flowing Creek Way","2913","$611,532","2","2","1","WestWashn","BENT CREEK","0","1LEVL","ATTACH","4+","2,956","Yes","5,920","2","DREZ01"
"1001","21732179","S","SFD","3413 Pace Dr","2913","$612,036","4","3","1","WestWashn","BELMONT WOODS","1","1LEVL","ATTACH","3","2,743","Yes","4,253","1","FRMN01"
"1001","21715385","S","SFD","3069 Belterra Pl","2913","$612,520","4","3","1","WestWashn","HAWTHORNE RIDGE","1","2LEVL","ATTACH","3","2,947","Yes","3,587","1","NBLC01"
"1001","21695963","S","SFD","16885 CATKINS Ct","2913","$620,000","5","4","1","WestWashn","OAK MANOR","2","2LEVL","ATTACH","3","3,464","Yes","5,111","73","BHHS01"
"1001","21700435","S","SFD","15571 Bridgewater Club","2913","$625,000","4","4","1","WestWashn","BRIDGEWATER CLUB","1","2LEVL","ATTACH","2","2,752","Yes","4,792","56","BHHS01"
"1001","21691034","S","SFD","15933 Joliet Rd","2913","$625,000","3","2","1","WestWashn","NO SUBDIVISION","2","1LEVL","ATTACH,DETATCH,MULTI","4+","1,462","Yes","2,362","110","VPRG01"
"1001","21718603","S","SFD","16651 Oak Manor Dr","2913","$630,000","5","4","1","WestWashn","OAK MANOR","1","2LEVL","ATTACH","3","3,618","Yes","5,842","8","PEND01"
"1001","21706449","S","SFD","573 Mcnamara Ct","2913","$631,000","4","4","1","WestWashn","VILLAGE FARMS","2","2LEVL","ATTACH","3","3,730","Yes","5,701","26","KWIN01"
"1001","21720960","S","SFD","15121 Mooring Cir W","2913","$648,000","3","3","0","WestWashn","BRIDGEWATER CLUB","2","1LEVL","ATTACH","3","2,135","Yes","4,118","4","TUCK08"
"1001","21701452","S","SFD","15504 Viking Crusader Ct","2913","$660,000","5","4","1","WestWashn","TWO GAITS AT VIKING MEADOWS","2","2LEVL","ATTACH","3","3,745","Yes","5,717","59","EZST01"
